Year	State	FIPS	Total	Black	White
1968	US	0	199533589	22032385	175182341
1969	US	0	201568182	22375209	176751095
1970	US	0	203603794	22661162	178374643
1971	US	0	206937749	23180901	180925946
1972	US	0	209127537	23544063	182530721
1973	US	0	211130824	23865981	183982261
1974	US	0	213209874	24211259	185483417
1975	US	0	215387884	24600506	187018666
1976	US	0	217608138	24984536	188597420
1977	US	0	219974426	25370052	190316819
1978	US	0	222282083	25735111	191979926
1979	US	0	224850874	26155473	193833493
1980	US	0	226888704	26756652	194966160
1981	US	0	229716001	27190341	196818864
1982	US	0	231899175	27559164	198210442
1983	US	0	233921783	27903566	199508822
1984	US	0	235955196	28251681	200797236
1985	US	0	238116263	28618788	202171750
1986	US	0	240297079	28997964	203538511
1987	US	0	242487990	29392631	204897651
1988	US	0	244769449	29807700	206302646
1989	US	0	247158528	30242931	207769281
1990	US	0	248922111	30529485	208867182
1991	US	0	253088068	31336063	211676058
1992	US	0	256606463	32016378	214009390
1993	US	0	260024637	32661194	216269969
1994	US	0	263241475	33279171	218401361
1995	US	0	266386596	33855938	220482868
1996	US	0	269540779	34438777	222540451
1997	US	0	272776678	35024584	224660395
1998	US	0	276032848	35613624	226800982
1999	US	0	279040168	36173121	228687790
2000	US	0	281421906	36594309	230085762
2001	US	0	284968955	37249775	232192666
2002	US	0	287625193	37748424	233720535
2003	US	0	290107933	38209741	235125072
2004	US	0	292805298	38738798	236670034
2005	US	0	295516599	39280731	238187095
2006	US	0	298379912	39857107	239805271
2007	US	0	301231207	40451108	241390828
2008	US	0	304093966	41048959	242966379
2009	US	0	306771529	41632450	244388833
2010	US	0	308745538	42065334	245423340
2011	US	0	311591917	42678815	247094331
2012	US	0	313914040	43203092	248224553
2013	US	0	316128839	43696271	249344498
2014	US	0	318857056	44309394	250630467
2015	US	0	321418820	44863196	251875054
2016	US	0	323127513	45307020	252702814
2017	US	0	325719178	45883808	253935650
2018	US	0	327167434	46262846	254564236
2019	US	0	328239523	46599393	255040203
2020	US	0	329484123	44531112	250309724
					
